album,released,name,text
"Fleurs 3
      ",2002,Perduto amor,Perduto amor perduto amor So che mai più ti rivedrò Perduto amor perduto amor Ma sempre a te io penserò Se ieri ti tenevo sul mio cuore Domani non so dove sarai tu Il tempo lascia solo di un amore Un poco di rimpianto e nulla più I dolci sogni dell'età sognante Splendidi fiori felicità Dovevano sfidar l'eternità E invece sono ormai svaniti già Perduto amor perduto... Al mondo sì nessuno come me Viveva più felice col tuo amor Ma questo se ne andò chissà perché Lasciando l'amarezza nel mio cuor Così per un capriccio del destino Un grande amor vi lascia e va L'avrete fra le mani ma si sa Un giorno come sabbia sfuggirà Perduto amor perduto...
"L'Ombrello E La Macchina Da Cucire
      ",1995,L'ombrello e la macchina da cucire,"Ero solo come un ombrello su una Macchina da cucire Dalle pendici dei monti Iblei A settentrione Ho percorso il cammino, arrampicandomi Per universi e mondi Con atti di pensiero e umori cerebrali L’abisso non mi chiama, sto sul ciglio Come un cespuglio: quieto come un insetto Che si prende il sole Scendevo lungo il fiume scrollando le spalle..... Che cena infame stasera Che pessimo vino Chiacchiero col vicino Lei non ha finezza Non sa sopportare l’ebbrezza Colgo frasi occidentali Schizzano dal cervello i pensieri - Fini le calze La Coscienza trascendentale No l’Idea si incarna Dice che questa estate Ci sarà la fine del mondo The end of the world Berretto di pelo e sottanina di tàrtan Have we cold feet about the cosmos?"
"Messa Arcaica
      ",1994,Gloria,"Domine Fili unigenite Iusu Christe Deus Pater Laudamus Te, benedicimus Te Adoramus Te, glorificamus Te Gloria in excelsis Deo Et in terra pax hominibus, bonae voluntatis"
"Mondi Lontanissimi
      ",1985,Temporary road,I'm looking for someone a miracle To send my life in the curved air I'm a lonely boy steppin' out Solitary man ... I don't understand Life can be short or long Tomorrow is another day I'm livin' underground like a teddy boy I cross the rainbow Migliaia di prigionieri immobili Seduti sulle macchine ai semafori Quando non c'è traffico per le vie del centro Solitario me ne vo per la città L'aria calma dei dí di festa Scende dalle scale verso me Vigilesse all'erta come teddy boys Per divieto di sosta Danno sempre le multe Da una chiesa qui vicino Suona una campana din don dan
"Como Un Camello En Un Canalón
      ",1991,Sagradas Sinfonías Del Tiempo,"Las oigo más cercanas, sagradas sinfonías del tiempo Con una idea; que somos seres inmortales Caídos en la oscuridad, pobres condenados Por los siglos de los siglos hasta curar completamente Mirando el horizonte, un aire de infinito me conmueve También a veces la clara insidia de la luna Dentro de la noche me hace vivir en aparente inutilidad En este mar de confusiones Y somos ángeles caídos en el planeta Tierra Sin memoria de dónde venimos Hasta curar completamente"
"Messa Arcaica
      ",1994,Sanctus,"Sanctus, Sanctus, Sanctus Dòminus Deus Sàbaoth Pleni sunt caeli et terra glòria tua Sanctus Benedictus Osanna in excelsis Benedictus in nomine Domini"
"Gilgamesh
      ",1992,Morte di Gilgamesh,[Coro] Gilgamesh! Gilgamesh! Guardate il nostro re: è morto o dorme?
"Gommalacca
      ",1998,Il ballo del potere,"Ti muovi sulla destra poi sulla sinistra Resti immobile sul centro Provi a fare un giro su te stesso, un giro su te stesso You miss me and I miss you Fingi di riandare avanti con un salto Poi a sinistra con la finta che stai andando a destra Che stai andando a destra You miss me and I miss you Poi si aggiungono i pensieri Con un movimento indipendente dalla testa, dalle gambe Con un movimento dissociato dalla testa, dalle gambe I Pigmei dell'Africa, si siedono per terra Con un rito di socialità Tranquilli fumano l'erba The circle symbolizes T'ai Chi which is formless and above duality Here it is manifesting itself as the progenitor of the universe It is divided into Yin (the dark) and Yang (the light) which signify The negative and positive poles Pairs of opposites, passive and active, female and male Moon and Sun Gli aborigeni d'Australia si stendono sulla terra Con un rito di fertilità Vi lasciano il loro sperma"
"Mondi Lontanissimi
      ",1985,Il Re del Mondo,"Strano come il rombo degli aerei Da caccia un tempo Stonasse con il ritmo delle piante Al sole sui balconi ... E poi silenzio ... e poi, lontano Il tuono dei cannoni, a freddo ... E dalle radio dei segnali in codice Un giorno in cielo, fuochi di Bengala ... Ia Pace ritornò Ma il Re del Mondo Ci tiene prigioniero il cuore Nei vestiti bianchi a ruota ... Echi delle danze sufi ... Nelle metro giapponesi, oggi Macchine d'ossigeno Più diventa tutto inutile E più credi che sia vero E il giorno della fine Non ti servirà l'Inglese ... E sulle biciclette verso casa La vita ci sfiorò Ma il Re del Mondo Ci tiene prigioniero il cuore"
"Gommalacca
      ",1998,Casta diva,"Greca, nascesti a New York E lì passasti la tua infanzia con genitori e niente di speciale Fu un giorno che tua madre stanca dell'America e di suo marito Prese i bagagli e le vostre mani Vi riportò indietro Nella terra degli Dei Eri una ragazzina assai robusta Non sapevi ancora di essere divina... Ci hai spezzato per sempre il cuore Ti strinse forte il successo Ballò fino a sera con te La musica non ti scorderà mai Viaggiasti e il mondo stringesti Ti accoglievano navi, aerei e treni Invidie, gelosie e devozione Un vile ti rubò serenità e talento Un vile ti rubò serenità. Un vile ti rubò Divinità dalla suprema voce La tua temporalità mi é entrata nelle ossa"
"Messa Arcaica
      ",1994,Credo,"Credo in unum Deum Patrem omnipotentem Factorem caeli et terrae Visibilium omnium et invisibilium Et in unum Dominum Iesum Christum Filium Dei Unigenitum Deum de Deo, Lumen de Lumine Deum verum de Deo vero Genitum non factum consubstantialem Patri Per quem omnia facta sunt Qui propter nos homines Et incarnatus est de Spìritu Sancto ex Maria Virgine Et homo factus est Crucifixus ètiam pro nobis sub Pònzio Pilato: Passus et sepùltus est Et resurrexit tertia die secundum Scripturas Et ascendit in caelum sedet ad dìxteram Dei Patris Et interum ventùrus est cum glòria indicàre vivos et mòrtuos Et in Spìritum Sanctum, qui ex Patre Filìoque procèdit"
"Mondi Lontanissimi
      ",1985,Personal computer,Mi son comprato un personal computer Ma il cuore soffre un poco di aritmia Non so come curare i reumatismi Nelle famiglie personalità Sempre in conflitto A volte anche una finta gentilezza è per litigare Quando è notte Nelle stanze d'albergo Rumori di letto Sesso meccanico Questa ginnastica Chiamata amore Innumerevoli stati d'assedio Propongono ricette per la vita Ma ho già l'astrologia babilonese Nel Medio Evo rinascimentale C'è chi cerca una liberazione E c'è chi scopre un'altra particella Quando è notte Nelle stanze d'albergo Rumori di letto Sesso meccanico E il tuo telefono è sempre occupato
"Fleurs 3
      ",2002,Sigillata con un bacio,Ci dobbiamo ormai lasciar per l'estate Io ti prometto però che sempre scriverò E con un bacio la lettera sigillerò Passerò pensando a te questa estate Scrivendoti tutto di me e con un bacio amor Ogni giorno la lettera sigillerò Io so che ogni giorno nel sole ti rivedrò Lo so che tutte le notti nel buio ti cercherò Sarà bello per noi due ritrovarci Quando l'autunno verrà e tu ritornerai Con il vento in settembre ed io ti bacerò
"Genesi
      ",1987,Rorate Cœli,[Coro] Rorate Cœli [Soli & Coro] Dall’orgasmo cosmico nacquero Lo Spazio e il Tempo
"Nomadas
      ",1987,Otra vida,"Ciertas noches al dormir me pongo a leer Y tal vez necesito Instantes de silencio Varias veces contigo sabiendo que te quiero Me enfado inútilmente Sin verdadera razón De mañana en la calle el tráfico loco me agota Me enervan los semáforos y los stops Por la tarde vuelvo a casa con un malestar especial No sirven tranquilizantes o terapias Se quiere otra vida En divanes cómodos, los mandos en la mano Cuentos de bajos fondos: ""Dallas"", ""Los ricos lloran"" Por la vía la cuarta línea del metro que avanza Los coches aparcados en triple fila Por la tarde retorno con desgana y aburrimiento No sirven excitantes ni ideologías Se quiere otra vida"
"Gilgamesh
      ",1992,Preparazione alla Danza,[Strumentale]
"Ferro Battuto
      ",2001,La quiete dopo un addio,"Vivevamo segregati a quel tempo Giacevo così mi parve e cadeva la neve Curiosità e prudenza si univano ed indagavo Mi avventurai a studiare il gelo e i suoi composti E le immense riserve Verrà un altro temporale sarà di nuovo estate E scoppieranno i suoi colori per le strade Ci sentiremo crescere e la voglia di viaggiare Ed incontrare nuovi amori Che rifaranno credere Monti sorgenti, dalle acque appariranno le baie dell’incostanza Le valli dell’incoerenza per superare questa noia di vivere Prendi ciò che vuoi dai tuoi giardini sospesi nell’anima Verrà un nuovo temporale e finirà l’estate La quiete dei colori autunnali a riflettersi sulle strade e sugli umori Come il dolce malessere dopo un addio Poche le cose che restano alla fine di un’estate La quiete dei colori autunnali si rifletterà sulle strade e sugli umori Come il dolce malessere dopo un addio"
"Foetus
      ",1999,Karyokinesis,A nucleus splits itself And there are two lives And four and eight again In the right order A magic magic process Maybe a blind process Or maybe illuminated fundamentally With no past A nucleus splits itself Error interrupts Inside a mechanism A well that's called chance
"Fleurs 2
      ",2008,Bridge over troubled water,"When you're weary, feeling small When tears are in your eyes, I will dry them all; I'm on your side. When times get rough And friends just can't be found Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down When you're down and out When you're on the street When evening falls so hard I will comfort you I'll take your part When darkness comes And pain is all around Like a bridge over troubled water I will lay me down Like a bridge over troubled water I will lay me down Sail on silvergirl, sail on by Your time has come to shine All your dreams are on their way See how they shine If you need a friend I'm sailing right behind Like a bridge over troubled water I will ease your mind Like a bridge over troubled water I will ease your mind"
"Anthology - Le nostre anime (CD 2)
      ",2015,I treni di tozeur - live at arena di verona / 2013,Nei villaggi di frontiera guardano passare i treni Le strade deserte di Tozeur Da una casa lontana tua madre mi vede Si ricorda di me delle mie abitudini E per un istante ritorna la voglia di vivere A un'altra velocit Passano ancora lenti i treni per Tozeur Nelle chiese abbandonate si preparano rifugi E nuove astronavi per viaggi interstellari In una vecchia miniera distese di sale E un ricordo di me come un incantesimo E per un istante ecc... Nei villaggi di frontiera guardano passare I treni per Tozeur
"Fleurs 3
      ",2002,Beim Schlafengehen,"Nun der Tag mich mud gemacht Soll mein sehnliches Verlangen Freundlich die gestirnte Nacht wie ein mudes Kind empfangen Hande lasst von allem Tun, Stirn vergiss du alles Denken Alle meine Sinne nun wollen sich in Schlummer senken Und die Seele unbewacht, will in frein Flugen scheweben Um im Zauber kreis der Nacht tief und tausendfach zu leben"
"Caffè De La Paix
      ",1993,Sui Giardini della Preesistenza,Torno a cantare il bene e gli splendori Dei sempre più lontani tempi d'oro Quando noi vivevamo in attenzione Perché non c'era posto per il sonno Perché non v'era notte allora Beati nel dominio della Preesistenza Fedeli al regno che era nei Cieli Prima della caduta sulla Terra Prima della rivolta nel dolore Prima della rivolta nel dolore Tu volavi lieve Sui giardini della preeternità Poi ti allungavi Sopra i gelsomini Ho visto dei cavalli in mezzo all'erba Seduti come lo sono spesso i cani E senza tregua vedo buio intorno Voglio di nuovo gioia nel mio cuore Un tempo in alto e pieno di allegria Beati nel dominio della Preesistenza Fedeli al regno che era nei Cieli Prima della caduta sulla Terra Prima della rivolta nel dolore Un tempo in alto
"Fleurs 2
      ",2008,Sitting on the dock of the bay,Sitting in the morning sun I'll be sitting when the evening comes Watching the ships roll in And i watch 'em roll away again Sitting on the dock of the bay Watching the tide roll away Sitting on the dock of the bay Wasting time I left my home in Georgia Headed for the 'frisco bay I had nothin to live for And i look like nothing's Gonna come my way Sitting on the dock of the bay Watching the tide roll away I'm sitting on the dock of the bay Wasting time Looks like nothing's Gonna change Everything still remains the same I can't do what ten people Tell me to do So i guess i'll remain the same Sitting here resting my bones And this loneliness won't leave me alone Two thousand miles i roamed Just to make this dock my home Sitting on the dock of the bay Watching the tide roll away Sitting on the dock of the bay Wasting time I can't do what ten people Tell me to do So i guess i'll remain the same Watching the ships roll in And i watch 'em roll away again Sitting on the dock of the bay
"Nomadas
      ",1987,La era del jabalí blanco,Pleno un verano en Túnez Por las vacaciones A veces un temporal No nos dejaba salir Un hombre de una cierta edad Me ofrecía Cigarrillos turcos Más espero que retorne pronto la era del jabalí blanco Espero que retorne pronto la era del jabalí blanco Perfumes increibles En el aire de la tarde Estudiantes de Damasco Vestidos por igual La sombra de mi identidad Mientras me sentaba En el cine o bien en un bar Espero que retorne pronto la era del jabalí blanco...
"Joe Patti's Experimental Group
      ",2014,Nel cosmo,[Brano strumentale]
"Genesi
      ",1987,Sen peygamberler,"[Coro] Sen peygamberler bahçesinin gül ağacı, Sümbülü Sen saf, Seçilmiş, Muhteşem ve Yüce Sen Kalplerin Hekimi Cenabı Hakkın Dostu [Tenore] Der Rhythmus ist Sohn von Zeit und Raum [Soprano] Ich lese in den Sternen die Kriege von Morgen [Soli] Rhythm of the heart Rhythm of the breath Rhythm of the universe [Coro] Mevlanà, hakikatın dostu, sultanım Cihanın en mükemmel, en asıl varlığı Dostu"
"Fleurs 2
      ",2008,Era d'estate,Era d’estate Era d’estate e tu eri con me Era d’estate tanto tempo fa Ora per ora noi vivevamo Giorni e notti felici Senza domani Era d’autunno e tu eri con me Era d’autunno poco tempo fa Ora per ora senza un sorriso Si spegneva l’estate negli occhi tuoi Io ti guardavo e sognavo una vita tutta con te Ma i sogni belli non si avverano mai Era d’estate e tu eri con me Era d’estate poco tempo fa E sul tuo viso lacrime chiare Mi dicevano solo addio
"Como Un Camello En Un Canalón
      ",1991,Como un camello en un canalón,"Vivo como un camello en un canalón En esta ilustre y honorable sociedad Y espero todavía una optima ocasión Para comprar un par de alas Y abandonar el planeta Que tienen que mirar y soportar aún los ojos? Los bárbaros demonios de la guerra que fingen sus plegarias Ya sé desde hace tiempo que, tras cualquier violencia, el mal existe Si yo fuera más listo, no caería en su trampa Esta noche el cielo pesa como plomo Cuantas penas e inútiles dolores!"
"Anthology - Le Nostre Anime (CD 1)
      ",2015,Prospettiva Nevski,Un vento a trenta gradi sotto zero Incontrastato sulle piazze vuote contro i campanili A tratti come raffiche di mitra Disintegrava i cumuli di neve E intorno i fuochi delle guardie rosse Accesi per scacciare i lupi E vecchie coi rosari Seduti sui gradini di una chiesa Aspettavamo che finisse messa e uscissero le donne Poi guardavamo con le facce assenti La grazia innaturale di Nijinskj E poi di lui s'innamorò perdutamente Il suo impresario E dei balletti russi L'inverno con la mia generazione Le donne curve sui telai vicino alle finestre Un giorno sulla prospettiva Nevski Per caso vi incontrai Igor Stravinsky E gli orinali messi sotto i letti Per la notte e un film Di Eisenstein sulla rivoluzione E studiavamo chiusi in una stanza La luce fioca di candele e lampade a petrolio E quando si trattava di parlare Aspettavamo sempre con piacere E il mio maestro mi insegnò Com'è difficile trovare l'alba Dentro l'imbrunire
"Gommalacca
      ",1998,La preda,"E scivola la sera tra i luoghi che attirano il mio sguardo La mia attenzione Dormo solo poche ore La caffeina scuote le mie voglie Sto sempre sveglio, ho voglia di arditezze Non saremo più né tu né io Cerca di restare immobile, non parlare Lento il respiro all'unisono rallenta il cuore Muta la furia in ebbrezza in tenerezza Lasciati andare Lasciati andare Piano Fino ad arrivare all'estasi Con me Volare così in alto da afferrare la preda ambita Senza luoghi comuni né vane parole Si intrecciano lenzuola come sacre bende di sacerdoti Egiziani Non saremo più né tu né io"
"Dieci Stratagemmi
      ",2004,I'm that,What glorious light Wisdom without bound Wrapt in eternal solitary shade The impenetrable gloom Of light intense Impervious inaccessible immense And brought light to the gods and mortal man My abstinence and renunciation left his heaven to me You are a hero you are what is ten times more We're come from stars’ cosmic nature Now we are destroying the future A real man Everything is good Inspired by love and wine The light which is in me Is now ablaze in me I come from the first chosen What joy to breathe the scent of open air Which die like the last rays of the sun No mortal man has lifted my veil I'm neither Muslim nor Hindu Non sono mussulmano nè induista Nor Christian nor Buddhist Nè cristiano nè buddista I'm not for the hammer Non sono per il martello Neither for the sickle Nè per la falce And even less for the tricolour flame Nè tanto meno per la fiamma tricolore Because I'm a musician Perchè sono un musicista
"Come Un Cammello In Una Grondaia
      ",1991,Oh sweet were the hours,"Nomadi che cercano gli angoli della tranquillità Nelle nebbie del nord e nei tumulti delle civiltà Tra i chiari scuri e la monotonia Dei giorni che passano Camminatore che vai Cercando la pace al crepuscolo La troverai Alla fine della strada Lungo il transito dell'apparente dualità La pioggia di settembre Risveglia i vuoti della mia stanza Ed i lamenti della solitudine Si prolungano Come uno straniero non sento legami di sentimento E me ne andrò Dalle città Nell'attesa del risveglio I viandanti vanno in cerca di ospitalità Nei villaggi assolati E nei bassifondi dell'immensità E si addormentano sopra i guanciali della terra Forestiero che cerchi la dimensione insondabile La troverai, fuori città Alla fine della strada"
"Joe Patti's Experimental Group
      ",2014,Come un branco di lupi,[Strofa] Come un branco di lupi che scende dagli altipiani ululando O uno sciame di api accanite divoratrici di petali odoranti Precipitano roteando come massi da altissimi monti in rovina
"Echoes of Sufi Dances
      ",1985,El animal,"Vivir no es muy complicado Si puedes renacer después y cambiar varias cosas Las frivolidades y tanta estupidez Mientes, tú mientes bien Cuando te tengo junto a mi, tú me das la razón Y quisiera decirte que prefiero estar solo Y el animal que yo llevo dentro No me ha dejado nunca ser feliz Me roba todo, hasta el café Me vuelve esclavo de mis pasiones Sin desistir jamás y nunca espera Y el animal que yo llevo dentro te ama a ti Dentro de mí, chispas de fuego Y el agua que lo apagarà Si quieres ver cómo arde, espárcelo en el aire O déjalo en la tierra Y el animal que yo llevo dentro No me ha dejado nunca ser feliz Me roba todo, hasta el café Me vuelve esclavo de mis pasiones Sin desistir jamás y nunca espera Y el animal que yo llevo dentro te ama a ti"
"Anthology - Le Nostre Anime (CD 1)
      ",2015,Stranizza d'amuri,"[Strofa 1] 'Ndo vadduni da Scammacca I carritteri ogni tantu Lassaunu i loru bisogni E i muscuni ci abbulaunu supra Jeumu a caccia di lucettuli ... A litturina da Ciccum-Etnea I saggi ginnici, 'u Nabuccu A scola sta finennu [Strofa 2] Man manu ca passunu i jonna Sta frevi mi trasi 'nda ll'ossa Ccu tuttu ca fora c'è a guerra Mi sentu stranizza d'amuri L'amuri [Strofa 3] E quannu t'ancontru 'nda strata Mi veni 'na scossa 'ndo cori Ccu tuttu ca fora si mori Na mori stranizza d'amuri L'amuri [Strofa 4] E quannu t'ancontru 'nda strata Mi veni 'na scossa 'ndo cori Ccu tuttu ca fora si mori Na mori stranizza d'amuri L'amuri [Strofa 5] Man manu ca passunu i jonna Sta frevi mi trasi 'nda ll'ossa Ccu tuttu ca fora c'è a guerra Mi sentu stranizza d'amuri L'amuri"
"Fleurs 2
      ",2008,Il carmelo di Echt,"E per vivere in solitudine nella pace e nel silenzio Ai confini della realtà Mentre ad Auschwitz soffiava forte il vento E ventilava la pietà Hai lasciato le cose del mondo Il pensiero profondo dai voli insondabili Per una luce che sentivi dentro, le verità invisibili Dove sarà Edith Stein? Dove sarà? I mattini di maggio riempivano l'aria I profumi nei chiostri del carmelo di Echt Dentro la clausura qualcuno che passava Selezionava gli angeli E nel tuo desiderio di cielo una voce nell'aria si udì: Gli ebrei non sono uomini E sopra un camion o una motocicletta che sia Ti portarono ad Auschwitz Dove sarà Edith Stein? Dove sarà? E per vivere in solitudine nella pace e nel silenzio Nel carmelo di Echt"
"Mondi Lontanissimi
      ",1985,Via Lattea,[Strofa 1] Ci alzammo che non era ancora l'alba Pronti per trasbordare Dentro un satellite artificiale Che ci condusse in fretta Alle porte di Sirio Dove un equipaggio sperimentale Si preparava Al lungo viaggio Noi Provinciali dell'Orsa Minore Alla conquista degli spazi interstellari E vestiti di grigio chiaro Per non disperdersi [Ritornello] Seguimmo certe rotte in diagonale Dentro la Via Lattea [Strofa 2] Un capitano del centro impressioni Colto da esaurimento Venne presto mandato in esilio Mi preparavo Al lungo viaggio In cui ci si perde [Ritornello] Seguimmo certe rotte in diagonale Dentro la Via Lattea
"Dieci Stratagemmi
      ",2004,La porta dello spavento supremo,Quello che c'è ciò che verrà Ciò che siamo stati E comunque andrà Tutto si dissolverà Nell'apparenza e nel reale Nel regno fisico o in quello astrale Tutto si dissolverà Sulle scogliere fissavo il mare Che biancheggiava nelll'oscurità Tutto si dissolverà Bisognerà per forza Attraversare alla fine La porta dello spavento supremo
"Genesi
      ",1987,I cavalieri della solitudine,"[Soprani, Tenore & Baritono] I cavalieri della solitudine Su vascelli del tempo Attraversano lo spazio Dell’evoluzione Per il pianeta Terra"
"L'Ombrello E La Macchina Da Cucire
      ",1995,Breve invito a rinviare il suicidio,"Va bene, hai ragione Se ti vuoi ammazzare Vivere è un offesa Che desta indignazione... Ma per ora rimanda... E' solo un breve invito, rinvialo Va bene, hai ragione Se ti vuoi sparare Un giorno lo farai Con determinazione Ma per ora rimanda... E' solo un breve invito, rinvialo Questa parvenza di vita Ha reso antiquato il suicidio Questa parvenza di vita, signore Non lo merita... Solo una migliore"
"Anthology - Le nostre anime (CD 2)
      ",2015,Lo spirito degli abissi,"Raggiungeremo la completezza La via della vita è trasformazione Il bene è il migliore dei giudici. Quando scoppiò… la grande guerra L'umanità era sulla via del sacrificio Lo spirito degli abissi, si impadronì del nostro destino. Abbiamo attraversato Senza accorgerci L'oscurità dell'inconscio È più forte di noi I giorni abbaglianti di luminosità Nel mio giardino, il cielo era più vicino a me e a Dio. Mi è ritornata voglia di pregare Seguendo la tenacia dei padri del deserto Per quelli che hanno perso da tempo la loro via Per chi non riesce a sopportare i dolori dell'esistenza. La porta ruota sul cardine Che resta sempre irremovibile La realtà ha due aspetti Spirito e materia I giorni abbaglianti di luminosità Nel mio giardino, il cielo era più vicino"
"Fleurs
      ",1999,J'entends siffler le train,J'ai pensé qu'il valait mieux Nous quitter sans un adieu Je n'aurais pas eu le coeur de te revoir Mais j'entends siffler le train Mais j'entends siffler le train Que c'est triste un train qui siffle dans le soir Je pouvais t'imaginer toute seule abandonée Sur le quai dans la cohue des aurevoirs Et j'entends siffler le train Et j'entends siffler le train Que c'est triste un train qui siffle dans le soir J'ai failli courir vers toi J'ai failli crier vers toi C'est à peine si j'ai pu me retenir Que c'est loin où tu t'en vas Que c'est loin où tu t'en vas Auras tu jamais le temps de revenir J'ai pensé qu'il valait mieux Nous quitter sans un adieu Mais je sent que maintenant tout est fini J'entendrai siffler ce train toute ma vie
"Nomadas
      ",1987,Despertar en primavera,"La presencia de la artillería En países meridionales Unidos en la lucha extranjera Bajo el reino de las Dos Sicilias Y los movimientos predecibles De la tropa y falsas batallas Olores de pólvora, de fuego Y voces del Estrecho de Mesina Sentimiento oculto para mí Me enamoré siguiendo el ritmo del corazón Y me desperté en Primavera Noches blancas de los sarracenos Que eran de costumbres alegres Posadas prohibidas a españoles A las puertas de Catania Y el movimiento tan irresistible De caderas de las mujeres Ver bailar flamenco Era una experiencia sensualísima Sentimiento oculto para mí Me enamoré siguiendo el ritmo del corazón Y me desperté en Primavera I'm a stranger in the night Despertar en Primavera..."
"Orizzonti Perduti
      ",1983,Tramonto occidentale,"Tornerà la moda dei vichinghi Torneremo a vivere come dei barbari Friedrich Nietzsche era vegetariano Scrisse molte lettere a Wagner Ed io mi sento un po' un cannibale e non scrivo mai a nessuno Non ho voglia né di leggere o studiare Solo passeggiare sempre avanti e indietro lungo il Corso o in Galleria E il piacere di una sigaretta per il gusto del tabacco, non mi fa male Tornerà la moda sedentaria dei viaggi immaginari e delle masturbazioni; I'analista sa che la famiglia è in crisi, da più generazioni Per mancanza di padri Ed io che sono un solitario non riesco; per avere disciplina ci vuole troppa volontà Mi piace osservare i miei concittadini specie nei giorni di festa Con bandiere fuori dalle macchine all'uscita dello stadio E mi diverte il piacere di una sigaretta per il gusto del tabacco"
"Dieci Stratagemmi
      ",2004,Fortezza Bastiani,Resisterà alle dolci lusinghe la Fortezza Bastiani? Bugiardi imbonitori l'assediano Con violenze degne di Tamerlano Resisterò andando incontro al piacere Ascoltando il respiro trattenendo il calore Su un'altra forma d'onda intonerò il mio pensiero Ho camminato girando a vuoto Senza nessuna direzione Mi tiene immobile nei limiti L'ossessione dell'Io Mi ritrovai seduto su una panchina Al sole di febbraio Un magico pomeriggio dai riflessi d'oro E mi svegliai con l'aria di pioggia recente Che aveva lasciato frammenti di gioia
"Come Un Cammello In Una Grondaia
      ",1991,Povera patria,"Povera patria! Schiacciata dagli abusi del potere Di gente infame, che non sa cos'è il pudore Si credono potenti e gli va bene quello che fanno; E tutto gli appartiene Tra i governanti, quanti perfetti e inutili buffoni! Questo paese è devastato dal dolore... Ma non vi danno un po' di dispiacere Quei corpi in terra senza più calore? Non cambierà, non cambierà No cambierà, forse cambierà Ma come scusare le iene negli stadi e quelle dei giornali? Nel fango affonda lo stivale dei maiali Me ne vergogno un poco, e mi fa male Vedere un uomo come un animale Non cambierà, non cambierà Sì che cambierà, vedrai che cambierà Voglio sperare che il mondo torni a quote più normali Che possa contemplare il cielo e i fiori Che non si parli più di dittature Se avremo ancora un po' da vivere... La primavera intanto tarda ad arrivare"
"Messa Arcaica
      ",1994,Agnus Dei,"Agnus Dei qui tollis peccata mundi Miserere nobis, miserere nobis Agnus Dei Agnus Dei qui tollis peccatqa mundi Miserere nobis"
"Nomadas
      ",1987,Nómadas,"Nómadas que buscan los ángulos de la tranquilidad En las nieblas del norte, en los tumultos civilizados Entre los claros oscuros y la monotonía de los días que pasan Caminante que vas buscando la paz en el crepúsculo La encontrarás, la encontrarás al final de tu camino Largo el tránsito de la aparente dualidad La lluvia de Septiembre despierta el vacío de mi cuarto Y los lamentos de la soledad aún se prolongan Como un extranjero no siento ataduras del sentimiento Y me iré de la ciudad, esperando un nuevo despertar Los viajantes van en busca de hospitalidad En pueblos soleados, en los bajos fondos de la inmensidad Y después duermen sobre las almohadas de la tierra Forastero que buscas la dimensión insondable La encontrarás fuera de la ciudad, al final de tu camino"
"Come Un Cammello In Una Grondaia
      ",1991,Plaisir d'amour,"Vi saluto amici, ci vedremo domani..... Se la notte non fa il suo colpo stanotte Trombe irreali, ululano cani, si sentono Odo marcette militari Nel '43, ero malato Vidi tutta la mia vita Sudato scorreva finita Vi saluto, amici, ci vedremo domani.... Se la notte non fa il suo colpo stanotte Cerimonioso, entro Nel suo centro vitale (L'armatura rimanda la Luce Originale) Guerriero della vita Sospendo le armi e la battaglia Birra e urina Si scambiano le parti: La latrina é il tuo caveau Liquido vitale scorre in entrambe Regalo della notte, piccolo pub Nessuno o tutt 'uno Vacca nera sono Gatto grigio nella tua notte Nessuno o tutt'uno Vacca nera sei Gatto grigio nella mia notte"
"Genesi
      ",1987,Hazreti Mevlanà,"Hazreti Mevlanà hakikatın dostu Sen cenabı hakkın sevdiğı Yaratanın eş’i olmayan peygamberi Dostum, sultanım Cihanın en mükemmel, en asıl varlığı Dostu sen cenabı hakkın sevdiği"
"Fleurs 3
      ",2002,Il cielo in una stanza,Quando sei qui con me Questa stanza non ha più pareti Ma alberi alberi infiniti quando sei Qui vicino a me questo soffitto viola no Non esiste più io vedo il cielo sopra noi Che restiamo qui Abbandonati come se non ci fosse più Niente più niente al mondo Suona un'armonica mi sembra un organo Che vibra per te per me Su nell'immensità del cielo Per te e per me nel ciel
"Apriti Sesamo
      ",2012,Il serpente,"All'uomo fu detto tu camminerai in eterno, viaggerai E l'ombra ti porterai addosso I suoi occhi guardavano stupiti, le mani forti e pallide Si aggirava nelle dolenti città d'occidente, in cupe società Dove trine e stracci si mischiavano Noi viviamo, tutti gridavano Il denaro strisciava come il serpente Nelle città d'occidente così si celebrava Ma da qualche parte un uomo nuovo nasceva All'uomo si disse tu camminerai in eterno, viaggerai E l'ombra ti resterà addosso Camminava come gli era stato detto, senza sostare camminava Gli si incupiva il viso, ma il cuore infiammato lo guidava Un raggio di luce attraversò un cielo nero e minaccioso Andando a illuminare un albero di ciliegio in fiore Davanti ai suoi occhi increduli e sbalorditi, si accorse Che qualcosa di metafisico era accaduto... Scoprì di colpo l'esperienza del bianco Il denaro striscia come il serpente, nelle città d'occidente così si celebra Ma da qualche parte un uomo nuovo sta nascendo"
